uptime_ms,temp_c,load
10805,24.330,0
11805,24.330,0
12805,24.330,0
13805,24.330,0
14805,24.330,0
15805,24.330,0
16805,24.330,0
17806,24.330,0
18806,24.330,0
19806,23.861,0
20806,23.861,0
21806,24.330,0
22806,23.861,0
23806,24.330,0
24807,24.330,0
25807,24.330,0
26807,24.330,0
27807,24.330,0
28807,23.861,0
29807,24.330,0
30807,23.861,0
31807,23.861,0
32808,24.330,0
33808,24.330,0
34808,24.330,0
35808,23.861,0
36808,24.330,0
37808,24.330,0
38808,24.330,0
39809,24.330,0
40809,24.330,0
41809,24.330,0
42809,24.330,0
43809,24.330,0
44809,23.861,0
45809,24.330,0
46810,23.861,0
47810,24.330,0
48810,24.330,0
49810,24.330,0
50810,24.330,0
51810,24.330,0
52810,24.330,0
53810,24.330,0
54811,24.330,0
55811,24.330,0
56811,24.330,0
57811,24.330,0
58811,24.330,0
59811,24.330,0
60811,24.330,0
61812,24.330,0
62812,23.861,0
63812,24.330,0
64812,24.330,0
65812,24.330,0
66812,24.330,0
67812,24.330,0
68813,24.798,0
69813,24.330,0
70813,24.330,0
71813,24.330,0
72813,24.330,0
73813,24.798,0
74813,24.330,0
75814,24.330,0
76814,24.330,0
77814,24.330,0
78814,24.330,0
79814,24.330,0
80814,24.330,0
81814,24.330,0
82815,24.330,0
83815,24.330,0
84815,24.330,0
85815,24.330,0
86815,24.330,0
87815,24.330,0
88815,24.798,0
89815,24.330,0
90816,24.330,0
91816,24.798,0
92816,24.330,0
93816,24.798,0
94816,24.330,0
95816,24.798,0
96816,24.330,0
97817,24.330,0
98817,24.330,0
99817,24.330,0
100817,24.330,0
101817,24.330,0
102817,24.330,0
103817,24.798,0
104818,24.798,0
105818,24.330,0
106818,24.330,0
107818,24.330,0
108818,24.798,0
109818,24.330,0
110818,24.330,0
111819,24.798,0
112819,24.330,0
113819,24.330,0
114819,24.798,0
115819,24.798,0
116819,24.798,0
117819,24.798,0
118819,24.798,0
119820,24.798,0
120820,24.798,0
121820,24.798,0
122820,24.330,0
123820,24.330,0
124820,24.798,0
125820,24.330,0
126821,24.798,0
127821,24.798,0
128821,24.330,0
129821,24.798,0
130821,24.330,0
131821,24.798,0
132821,24.798,0
133822,24.330,0
134822,24.330,0
135822,24.330,0
136822,24.798,0
137822,24.798,0
138822,24.330,0
139822,24.798,0
140823,24.330,0
141823,24.798,0
142823,24.330,0
143823,24.330,0
144823,24.798,0
145823,24.798,0
146823,24.330,0
147823,24.330,0
148824,24.798,0
149824,24.798,0
150824,24.330,0
151824,24.798,0
152824,24.798,0
153824,24.798,0
154824,24.798,0
155825,24.798,0
156825,24.330,0
157825,24.330,0
158825,24.330,0
159825,24.798,0
160825,24.330,0
161825,24.330,0
162826,25.266,0
163826,24.330,0
164826,24.798,0
165826,24.330,0
166826,24.798,0
167826,24.798,0
168826,24.798,0
169827,24.798,0
170827,24.798,0
171827,24.798,0
172827,24.798,0
173827,24.330,0
174827,24.798,0
175827,24.798,0
176827,24.798,0
177828,24.330,0
178828,24.330,0
179828,24.798,0
180828,24.330,0
181828,24.798,0
182828,24.330,0
183828,24.798,0
184829,24.330,0
185829,24.330,0
186829,24.330,0
187829,24.798,0
188829,24.798,0
189829,24.798,0
190829,24.798,0
191829,24.798,0
192830,24.798,0
193830,24.798,0
194830,24.798,0
195830,24.798,0
196830,24.330,0
197830,24.798,0
198830,24.798,0
199831,24.330,0
200831,24.798,0
201831,24.798,0
202831,24.798,0
203831,24.330,0
204831,24.798,0
205831,24.330,0
206832,24.330,0
207832,24.798,0
208832,24.798,0
209832,24.798,0
210832,24.798,0
211832,24.798,0
212832,24.798,0
213833,24.798,0
214833,24.798,0
215833,24.330,0
216833,24.798,0
217833,24.798,0
218833,24.798,0
219833,24.798,0
220833,24.798,0
221834,24.798,0
222834,24.798,0
223834,24.798,0
224834,24.798,0
225834,24.798,0
226834,24.330,0
227834,24.798,0
228835,24.798,0
229835,24.798,0
230835,24.798,0
231835,24.798,0
232835,24.798,0
233835,24.798,0
234835,24.798,0
235836,24.798,0
236836,24.798,0
237836,24.798,0
238836,24.798,0
239836,24.798,0
240836,24.798,0
241836,24.798,0
242837,24.798,0
243837,24.798,0
244837,24.798,0
245837,24.798,0
246837,24.798,0
247837,24.798,0
